mass,x,y,z,vx,vy,vz,radius
1.0,0.0,0.0,0.0,-0.93240737,-0.86473146 ,0.0,0.04
1.0,0.97000436,-0.24308753,0.0,0.466203685,0.432365730,0.0,0.04
1.0,-0.97000436,0.24308753,0.0,0.466203685,0.432365730,0.0,0.04
